"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n"
"1","risikoarm","1","18-34",1,"bier",0.574811041059796,0.53170860090299,0.617913481216602,221
"2","risikoarm","1","18-34",1,"wein",0.627929468481218,0.573984903222785,0.681874033739651,204
"3","risikoarm","1","18-34",1,"sprit",0.62205968056464,0.541273458598447,0.702845902530834,102
"4","risikoarm","1","18-34",2,"bier",0.674880742002969,0.603802346005066,0.745959138000871,207
"5","risikoarm","1","18-34",2,"wein",0.574804121144104,0.528652474580239,0.620955767707969,243
"6","risikoarm","1","18-34",2,"sprit",0.589832562209033,0.487901367904461,0.691763756513605,78
"7","risikoarm","1","35-59",1,"bier",0.486405175741125,0.460940513415033,0.511869838067216,303
"8","risikoarm","1","35-59",1,"wein",0.56677771182395,0.522502014204238,0.611053409443662,240
"9","risikoarm","1","35-59",1,"sprit",0.528702701558605,0.46790771944699,0.589497683670219,134
"10","risikoarm","1","35-59",2,"bier",0.50924742608818,0.479388052167502,0.539106800008858,335
"11","risikoarm","1","35-59",2,"wein",0.590365833354753,0.553487533132437,0.627244133577069,369
"12","risikoarm","1","35-59",2,"sprit",0.53224825618667,0.47664802779138,0.587848484581961,150
"13","risikoarm","1","60+",1,"bier",0.439698184321085,0.418352230896743,0.461044137745428,359
"14","risikoarm","1","60+",1,"wein",0.598138035107296,0.558563926834682,0.63771214337991,303
"15","risikoarm","1","60+",1,"sprit",0.511092154534771,0.452639863269494,0.569544445800048,175
"16","risikoarm","1","60+",2,"bier",0.460758743166224,0.437584337760803,0.483933148571645,347
"17","risikoarm","1","60+",2,"wein",0.597499549778226,0.562627511656873,0.632371587899579,405
"18","risikoarm","1","60+",2,"sprit",0.507690651905741,0.441365490319518,0.574015813491964,207
"19","risikoarm","2","18-34",1,"bier",0.592985943195944,0.551395353095486,0.634576533296402,310
"20","risikoarm","2","18-34",1,"wein",0.622555037603782,0.565605519890666,0.679504555316897,276
"21","risikoarm","2","18-34",1,"sprit",0.612010703872851,0.546642215471963,0.677379192273738,160
"22","risikoarm","2","18-34",2,"bier",0.62669937679478,0.580555911760241,0.672842841829318,266
"23","risikoarm","2","18-34",2,"wein",0.657233704180736,0.575501681583189,0.738965726778282,265
"24","risikoarm","2","18-34",2,"sprit",0.610215239785762,0.512006667558472,0.708423812013052,105
"25","risikoarm","2","35-59",1,"bier",0.538606588101535,0.512668641549531,0.564544534653538,556
"26","risikoarm","2","35-59",1,"wein",0.632568224810533,0.583904126185603,0.681232323435463,503
"27","risikoarm","2","35-59",1,"sprit",0.615327907070933,0.547180811743859,0.683475002398006,267
"28","risikoarm","2","35-59",2,"bier",0.550660609847931,0.526694760386668,0.574626459309194,610
"29","risikoarm","2","35-59",2,"wein",0.615989701766751,0.575131482842368,0.656847920691134,628
"30","risikoarm","2","35-59",2,"sprit",0.60233117400742,0.543855237978996,0.660807110035844,315
"31","risikoarm","2","60+",1,"bier",0.511346583465001,0.486021891573693,0.536671275356309,461
"32","risikoarm","2","60+",1,"wein",0.676896689063449,0.620676132176832,0.733117245950067,468
"33","risikoarm","2","60+",1,"sprit",0.554475545121241,0.509217488738909,0.599733601503573,265
"34","risikoarm","2","60+",2,"bier",0.52112195236365,0.494118535309327,0.548125369417973,457
"35","risikoarm","2","60+",2,"wein",0.68314266109976,0.632599492171776,0.733685830027743,527
"36","risikoarm","2","60+",2,"sprit",0.509797428548703,0.47243769136572,0.547157165731685,274
"37","risikoarm","3","18-34",1,"bier",0.653620468555077,0.610701242647213,0.696539694462941,273
"38","risikoarm","3","18-34",1,"wein",0.74488021500955,0.673000514834528,0.816759915184571,254
"39","risikoarm","3","18-34",1,"sprit",0.712261754718189,0.627742257222526,0.796781252213851,141
"40","risikoarm","3","18-34",2,"bier",0.632509303428744,0.595888020734336,0.669130586123153,256
"41","risikoarm","3","18-34",2,"wein",0.738542369333499,0.679280324994176,0.797804413672823,227
"42","risikoarm","3","18-34",2,"sprit",0.729068474013077,0.639267747551915,0.818869200474239,122
"43","risikoarm","3","35-59",1,"bier",0.599961279800962,0.578802053133341,0.621120506468584,743
"44","risikoarm","3","35-59",1,"wein",0.753465210955209,0.717054540147656,0.789875881762761,735
"45","risikoarm","3","35-59",1,"sprit",0.757491206284887,0.694297285033509,0.820685127536264,379
"46","risikoarm","3","35-59",2,"bier",0.626114472241346,0.574060009935856,0.678168934546835,682
"47","risikoarm","3","35-59",2,"wein",0.746892292136404,0.710284108852246,0.783500475420561,747
"48","risikoarm","3","35-59",2,"sprit",0.72104186900787,0.66328073405243,0.778803003963311,356
"49","risikoarm","3","60+",1,"bier",0.550362453183803,0.526010751206459,0.574714155161148,420
"50","risikoarm","3","60+",1,"wein",0.82719337426179,0.744986831909118,0.909399916614463,431
"51","risikoarm","3","60+",1,"sprit",0.583377752173687,0.527349527170629,0.639405977176746,217
"52","risikoarm","3","60+",2,"bier",0.555567448044116,0.530144726095304,0.580990169992929,366
"53","risikoarm","3","60+",2,"wein",0.808569891399877,0.734031634278474,0.883108148521281,421
"54","risikoarm","3","60+",2,"sprit",0.560289883215825,0.510726120664167,0.609853645767484,190
"55","riskant","1","18-34",1,"bier",0.502620034657911,0.435089025387871,0.570151043927952,62
"56","riskant","1","18-34",1,"wein",0.536060895425363,0.429255987623844,0.642865803226881,43
"57","riskant","1","18-34",1,"sprit",0.559658581014423,0.461551865034364,0.657765296994482,41
"58","riskant","1","18-34",2,"bier",0.535861826603856,0.48121909468979,0.590504558517921,88
"59","riskant","1","18-34",2,"wein",0.523080129522748,0.463078022199701,0.583082236845795,91
"60","riskant","1","18-34",2,"sprit",0.545381471270158,0.46639847669635,0.624364465843966,61
"61","riskant","1","35-59",1,"bier",0.416299364714395,0.33751943621346,0.49507929321533,67
"62","riskant","1","35-59",1,"wein",0.476139223406524,0.393630321083358,0.558648125729689,49
"63","riskant","1","35-59",1,"sprit",0.453052738579536,0.371614828719886,0.534490648439186,38
"64","riskant","1","35-59",2,"bier",0.397782149282165,0.353480010579554,0.442084287984775,89
"65","riskant","1","35-59",2,"wein",0.464345641521044,0.416745782565307,0.511945500476782,83
"66","riskant","1","35-59",2,"sprit",0.475413198233949,0.384088591708558,0.566737804759339,55
"67","riskant","1","60+",1,"bier",0.380657357969002,0.353575679886826,0.407739036051179,102
"68","riskant","1","60+",1,"wein",0.506624530874117,0.448577537751954,0.564671523996279,88
"69","riskant","1","60+",1,"sprit",0.422543218517538,0.365121900021393,0.479964537013683,65
"70","riskant","1","60+",2,"bier",0.41354601212427,0.366793760424275,0.460298263824265,114
"71","riskant","1","60+",2,"wein",0.512170791703711,0.458442238046779,0.565899345360644,117
"72","riskant","1","60+",2,"sprit",0.455775251435915,0.393442690155928,0.518107812715902,82
"73","riskant","2","18-34",1,"bier",0.4793937168471,0.431248838724068,0.527538594970131,51
"74","riskant","2","18-34",1,"wein",0.602747966430665,0.490128871221606,0.715367061639725,43
"75","riskant","2","18-34",1,"sprit",0.539255355662403,0.441125207793301,0.637385503531505,33
"76","riskant","2","18-34",2,"bier",0.491956225534546,0.447174946960783,0.536737504108309,104
"77","riskant","2","18-34",2,"wein",0.551810792564353,0.492156875030005,0.611464710098701,97
"78","riskant","2","18-34",2,"sprit",0.582044283771738,0.506126494192499,0.657962073350977,67
"79","riskant","2","35-59",1,"bier",0.438546216829756,0.415193712356962,0.461898721302551,131
"80","riskant","2","35-59",1,"wein",0.556276136171077,0.507996307095223,0.604555965246931,119
"81","riskant","2","35-59",1,"sprit",0.671633885098253,0.531194169813016,0.812073600383489,82
"82","riskant","2","35-59",2,"bier",0.451697672152171,0.42792370349398,0.475471640810363,152
"83","riskant","2","35-59",2,"wein",0.528215957805947,0.491857313150292,0.564574602461602,151
"84","riskant","2","35-59",2,"sprit",0.59984252046932,0.519255274965927,0.680429765972712,104
"85","riskant","2","60+",1,"bier",0.441209191258918,0.403115576724794,0.479302805793043,135
"86","riskant","2","60+",1,"wein",0.582487508661587,0.527476674343783,0.637498342979391,134
"87","riskant","2","60+",1,"sprit",0.43059761306929,0.396093607393323,0.465101618745257,94
"88","riskant","2","60+",2,"bier",0.468982897727031,0.422693941360572,0.515271854093491,121
"89","riskant","2","60+",2,"wein",0.5918056887099,0.536615356347673,0.646996021072127,128
"90","riskant","2","60+",2,"sprit",0.454535242592949,0.418952147842231,0.490118337343666,94
"91","riskant","3","18-34",1,"bier",0.567155680442798,0.466221583316451,0.668089777569146,75
"92","riskant","3","18-34",1,"wein",0.663387354328497,0.583414501632776,0.743360207024218,68
"93","riskant","3","18-34",1,"sprit",0.68640964432442,0.574071979466265,0.798747309182575,51
"94","riskant","3","18-34",2,"bier",0.523625290960637,0.45505106006384,0.592199521857433,82
"95","riskant","3","18-34",2,"wein",0.705108596881344,0.607487440073385,0.802729753689303,79
"96","riskant","3","18-34",2,"sprit",0.591408509891224,0.491214320936615,0.691602698845832,50
"97","riskant","3","35-59",1,"bier",0.501434677939173,0.460883659649926,0.54198569622842,177
"98","riskant","3","35-59",1,"wein",0.669901917934733,0.613932632186734,0.725871203682731,180
"99","riskant","3","35-59",1,"sprit",0.654708360364569,0.550953904423647,0.758462816305491,113
"100","riskant","3","35-59",2,"bier",0.505756128647066,0.471777035040249,0.539735222253882,235
"101","riskant","3","35-59",2,"wein",0.701491329237726,0.647863015861485,0.755119642613966,262
"102","riskant","3","35-59",2,"sprit",0.613579929389338,0.557164502021313,0.669995356757362,174
"103","riskant","3","60+",1,"bier",0.483161630654854,0.457277068057757,0.50904619325195,149
"104","riskant","3","60+",1,"wein",0.714405819047798,0.656686861559739,0.772124776535858,173
"105","riskant","3","60+",1,"sprit",0.592736170871081,0.509678935006602,0.67579340673556,118
"106","riskant","3","60+",2,"bier",0.499044169759478,0.470638880524719,0.527449458994236,107
"107","riskant","3","60+",2,"wein",0.688627273922716,0.627181146665623,0.750073401179809,133
"108","riskant","3","60+",2,"sprit",0.614027300417112,0.507826179882905,0.72022842095132,88
"109","hochriskant","1","18-34",1,"bier",0.396732504798992,0.315147907937253,0.47831710166073,10
"110","hochriskant","1","18-34",1,"wein",0.516660122601903,0.380882180523401,0.652438064680406,9
"111","hochriskant","1","18-34",1,"sprit",0.454351231506663,0.360497518001125,0.5482049450122,6
"112","hochriskant","1","18-34",2,"bier",0.495450628328668,0.40282094946386,0.588080307193475,17
"113","hochriskant","1","18-34",2,"wein",0.617366510944096,0.426925210003715,0.807807811884477,14
"114","hochriskant","1","18-34",2,"sprit",0.471859871246823,0.357194450870433,0.586525291623213,12
"115","hochriskant","1","35-59",1,"bier",0.309999511626496,0.246269707840602,0.373729315412389,16
"116","hochriskant","1","35-59",1,"wein",0.425906698271373,0.311566560958332,0.540246835584414,13
"117","hochriskant","1","35-59",1,"sprit",0.383132893647627,0.297886513140887,0.468379274154367,11
"118","hochriskant","1","35-59",2,"bier",0.366357276298507,0.30553699390892,0.427177558688094,11
"119","hochriskant","1","35-59",2,"wein",0.342457232623144,0.272576508001658,0.41233795724463,15
"120","hochriskant","1","35-59",2,"sprit",0.355758809610598,0.262613147915999,0.448904471305197,10
"121","hochriskant","1","60+",1,"bier",0.371128183580181,0.299131960612087,0.443124406548276,17
"122","hochriskant","1","60+",1,"wein",0.435330939792871,0.34499029369381,0.525671585891933,14
"123","hochriskant","1","60+",1,"sprit",0.455532714180025,0.335441479614257,0.575623948745793,12
"124","hochriskant","1","60+",2,"bier",0.294759694674814,0.195650308999319,0.39386908035031,4
"125","hochriskant","1","60+",2,"wein",0.296979784858159,0.197068904017652,0.396890665698666,5
"126","hochriskant","1","60+",2,"sprit",0.375711463844797,0.331664303766247,0.419758623923348,3
"127","hochriskant","2","18-34",1,"bier",0.479763515261132,0.409864270688285,0.549662759833978,16
"128","hochriskant","2","18-34",1,"wein",0.512982454121238,0.353178347961677,0.6727865602808,12
"129","hochriskant","2","18-34",1,"sprit",0.495019053572458,0.43262536387947,0.557412743265446,13
"130","hochriskant","2","18-34",2,"bier",0.524367544973545,0.300391294057536,0.748343795889554,12
"131","hochriskant","2","18-34",2,"wein",0.414856147522291,0.346211823579126,0.483500471465456,14
"132","hochriskant","2","18-34",2,"sprit",0.439726060546185,0.375488522713492,0.503963598378879,11
"133","hochriskant","2","35-59",1,"bier",0.430000147851324,0.337168202858537,0.52283209284411,22
"134","hochriskant","2","35-59",1,"wein",0.453890575301414,0.35699975754134,0.550781393061487,25
"135","hochriskant","2","35-59",1,"sprit",0.65470949551417,0.262878065665486,1.04654092536285,16
"136","hochriskant","2","35-59",2,"bier",0.460607706570543,0.367903942025452,0.553311471115634,23
"137","hochriskant","2","35-59",2,"wein",0.425331346248995,0.338697413559125,0.511965278938864,27
"138","hochriskant","2","35-59",2,"sprit",0.432269372001582,0.331776465547648,0.532762278455517,19
"139","hochriskant","2","60+",1,"bier",0.432549725449977,0.389655022871455,0.475444428028498,50
"140","hochriskant","2","60+",1,"wein",0.61762108738171,0.514456977265764,0.720785197497656,50
"141","hochriskant","2","60+",1,"sprit",0.543818319154122,0.468734325380335,0.618902312927909,44
"142","hochriskant","2","60+",2,"bier",0.423366094823987,0.347460787553978,0.499271402093996,26
"143","hochriskant","2","60+",2,"wein",0.570428806114138,0.44010407521135,0.700753537016927,27
"144","hochriskant","2","60+",2,"sprit",0.532306583966963,0.412646940908528,0.651966227025397,23
"145","hochriskant","3","18-34",1,"bier",0.429545528241611,0.365204260149438,0.493886796333785,12
"146","hochriskant","3","18-34",1,"wein",0.531581205963843,0.330752633932679,0.732409777995007,10
"147","hochriskant","3","18-34",1,"sprit",0.765155869872702,0.401182000883207,1.1291297388622,6
"148","hochriskant","3","18-34",2,"bier",0.456747454579589,0.398694517599888,0.51480039155929,9
"149","hochriskant","3","18-34",2,"wein",0.577729469026355,0.419121409432651,0.736337528620059,10
"150","hochriskant","3","18-34",2,"sprit",0.683450830975955,0.380956530547885,0.985945131404025,8
"151","hochriskant","3","35-59",1,"bier",0.402286840563286,0.360815325053286,0.443758356073285,21
"152","hochriskant","3","35-59",1,"wein",0.726488874495456,0.481826414875523,0.97115133411539,24
"153","hochriskant","3","35-59",1,"sprit",0.658682223591346,0.452686091526799,0.864678355655893,15
"154","hochriskant","3","35-59",2,"bier",0.370213896476695,0.322418070914822,0.418009722038568,15
"155","hochriskant","3","35-59",2,"wein",0.497353365325255,0.378777817431075,0.615928913219435,19
"156","hochriskant","3","35-59",2,"sprit",0.64462639121943,0.379553009238017,0.909699773200843,12
"157","hochriskant","3","60+",1,"bier",0.433460586309675,0.370046980120477,0.496874192498873,25
"158","hochriskant","3","60+",1,"wein",0.64837760856654,0.553059859242714,0.743695357890367,34
"159","hochriskant","3","60+",1,"sprit",0.614854815567062,0.49954298021439,0.730166650919733,19
"160","hochriskant","3","60+",2,"bier",0.424724040948276,0.343895693396617,0.505552388499935,12
"161","hochriskant","3","60+",2,"wein",0.629877532190106,0.539963352975022,0.719791711405191,19
"162","hochriskant","3","60+",2,"sprit",0.671896458978328,0.445131044280351,0.898661873676305,8
